date,ruined,equity,start_equity,gross_pnl,cost,funding,net_pnl,gross_return,net_return,traded_notional,gross_exposure,net_exposure,long_pnl,short_pnl,n_positions,n_live,multiplier,ex_ante_vol,ex_ante_vol_full_signal,held_ex_ante_vol,target_tracking_error
2020-07-07,False,101258.21010368013,100954.38991977429,307.9602954764723,0.38564357582386627,3.7544679948069755,303.8201839058415,0.003050489391508383,0.003009479668464929,385.6435758238663,9306.008939685005,4064.5670099473523,346.4569965917702,-38.49670111529784,20,20,0.0057542761634465376,7.046388166993061,18.703431091932003,0.04567203384865003,0.009822221966414088
2020-07-08,False,101708.23056961478,101258.21010368013,456.8243578196322,0.6992379474413508,6.104653937542303,450.02046593464854,0.004511479684974496,0.004444286201324953,699.2379474413508,9528.460516400934,4359.62193076799,616.5967674331862,-159.77240961355386,20,20,0.0057542761634465376,7.732096687711786,18.703431091932003,0.047583514450239096,0.009643166341059353
2020-07-09,False,101567.7639642271,101708.23056961478,-129.93343458693573,1.4108815273722954,9.122289273385066,-140.46660538769308,-0.0012775115038305778,-0.001381074123510092,1410.8815273722953,10104.235569253471,5322.845579683997,-163.1055043600798,33.172069773144045,20,20,0.0057542761634465376,9.42260495393371,18.703431091932003,0.056243040919913036,0.00917739408972198
2020-07-10,False,101570.57997730745,101567.7639642271,9.281424007506146,2.6651680949074996,3.8002428322432813,2.816013080355365,9.138159239948545e-05,2.7725461016816173e-05,2665.1680949074994,10046.64187738256,5821.985494796621,-39.937623619671825,49.21904762717797,20,20,0.0057542761634465376,10.629760177606867,18.572561727305903,0.06006099073701815,0.009081200367257982
2020-07-11,False,101605.27574081045,101570.57997730745,37.810652727951066,0.2683623810552991,2.8465268439008957,34.69576350299487,0.000372259888014803,0.0003415926492764586,268.3623810552991,10034.914573095743,6099.629299859426,76.65788694195447,-38.84723421400342,20,20,0.0057542761634465376,11.069031388860674,18.572561727305903,0.06206059726901831,0.008972218258073776
2020-07-12,False,101849.48597547518,101605.27574081045,250.60031184108152,0.44502959462153996,5.945047581726177,244.2102346647338,0.002466410430107481,0.002403519235435184,445.0295946215399,9957.913478153143,6578.028708701661,253.1095781311204,-2.5092662900389024,20,20,0.0057542761634465376,11.514257571570685,18.572561727305903,0.06552117686310292,0.008982434048128284
2020-07-13,False,101807.72994356065,101849.48597547518,-27.94439599545553,0.47643862379996615,13.335197295276002,-41.7560319145315,-0.00027436953390402375,-0.00040997783655566145,476.43862379996614,9809.043542277497,7003.885589225101,-59.237654956354575,31.293258960899045,20,20,0.0057542761634465376,11.994242704789587,18.572561727305903,0.06915272346401632,0.008445895076474913
2020-07-14,False,102006.43422188502,101807.72994356065,201.2819583844364,0.31047281004159133,2.2672072500288287,198.70427832436596,0.001977079328809526,0.0019517602291547215,310.4728100415913,9926.207033970326,7258.225764407653,204.46317340149335,-3.1812150170569664,20,20,0.0057542761634465376,12.35499425101349,18.572561727305903,0.07126695754943417,0.009103503787299799
2020-07-15,False,102096.70283622316,102006.43422188502,98.25874003151068,0.32232875200493094,7.667796941359018,90.26861433814673,0.0009632602176621297,0.0008849305931211544,322.32875200493095,10134.627179743235,7562.223594290943,79.9182175383666,18.340522493144086,20,20,0.0057542761634465376,12.688494044015174,18.572561727305903,0.07370222171613725,0.008935567492230574
2020-07-16,False,101949.59600597613,102096.70283622316,-142.76059588069194,0.21121362779356181,4.135020738546377,-147.1068302470319,-0.001398288014351444,-0.0014408577961916265,211.2136277935618,10270.806206058312,7735.083665592309,-175.1816779595755,32.421082078883565,20,20,0.0057542761634465376,12.93208595936897,18.572561727305903,0.07510176197426167,0.00885459118173226
